Pallet: "pallet_template", Extrinsic: "do_something", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
0,28000,4000,0,0,0,0,0
0,25000,3000,0,0,0,0,0
0,24000,4000,0,0,0,0,0
0,25000,3000,0,0,0,0,0
0,37000,3000,0,0,0,0,0
0,24000,4000,0,0,0,0,0
0,25000,4000,0,0,0,0,0
0,24000,4000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,25000,3000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,25000,3000,0,0,0,0,0
0,25000,4000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,24000,4000,0,0,0,0,0
0,24000,3000,0,0,0,0,0
0,24000,4000,0,0,0,0,0
20,30000,4000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,25000,4000,0,0,0,0,0
20,24000,3000,0,0,0,0,0
20,25000,4000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
20,24000,3000,0,0,0,0,0
20,25000,3000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
20,24000,3000,0,0,0,0,0
20,24000,3000,0,0,0,0,0
20,24000,4000,0,0,0,0,0
40,29000,4000,0,0,0,0,0
40,25000,3000,0,0,0,0,0
40,25000,3000,0,0,0,0,0
40,23000,4000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,23000,3000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,24000,3000,0,0,0,0,0
40,24000,3000,0,0,0,0,0
40,23000,3000,0,0,0,0,0
40,24000,3000,0,0,0,0,0
40,24000,4000,0,0,0,0,0
40,23000,3000,0,0,0,0,0
40,24000,3000,0,0,0,0,0
40,24000,3000,0,0,0,0,0
40,23000,3000,0,0,0,0,0
60,29000,4000,0,0,0,0,0
60,27000,4000,0,0,0,0,0
60,25000,3000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,25000,3000,0,0,0,0,0
60,25000,3000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,25000,3000,0,0,0,0,0
60,27000,3000,0,0,0,0,0
60,24000,4000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,24000,4000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,25000,4000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,24000,4000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,24000,3000,0,0,0,0,0
60,24000,4000,0,0,0,0,0
80,30000,4000,0,0,0,0,0
80,26000,3000,0,0,0,0,0
80,25000,4000,0,0,0,0,0
80,25000,3000,0,0,0,0,0
80,25000,3000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,25000,4000,0,0,0,0,0
80,25000,4000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
80,25000,4000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,24000,4000,0,0,0,0,0
80,24000,3000,0,0,0,0,0
100,28000,4000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,4000,0,0,0,0,0
100,25000,4000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,24000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,4000,0,0,0,0,0
100,24000,4000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,25000,3000,0,0,0,0,0
100,24000,3000,0,0,0,0,0
100,24000,4000,0,0,0,0,0
100,25000,4000,0,0,0,0,0
120,31000,4000,0,0,0,0,0
120,26000,4000,0,0,0,0,0
120,26000,3000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,26000,3000,0,0,0,0,0
120,25000,4000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,25000,4000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,24000,4000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,24000,4000,0,0,0,0,0
120,26000,3000,0,0,0,0,0
120,24000,3000,0,0,0,0,0
120,26000,3000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,25000,3000,0,0,0,0,0
120,24000,4000,0,0,0,0,0
140,27000,4000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,25000,4000,0,0,0,0,0
140,24000,3000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,26000,4000,0,0,0,0,0
140,24000,4000,0,0,0,0,0
140,24000,4000,0,0,0,0,0
140,25000,3000,0,0,0,0,0
140,24000,4000,0,0,0,0,0
140,24000,3000,0,0,0,0,0
